127.0.0.1 - - [20/Jan/2022:16:54:38 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:54:39 +0530] "GET /ProjectKFC/ HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:54:39 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:54:40 +0530] "GET /ProjectKFC/login.jsp? HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:54:46 +0530] "POST /ProjectKFC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:54:47 +0530] "GET /ProjectKFC/mainPage.jsp HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:54:47 +0530] "GET /ProjectKFC/image/Bucket.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:54:53 +0530] "POST /ProjectKFC/BucketMeals.jsp HTTP/1.1" 200 4962
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:54:59 +0530] "POST /ProjectKFC/TrendMeals.jsp HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:55:17 +0530] "POST /ProjectKFC/BucketMeals.jsp HTTP/1.1" 200 4962
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:55:22 +0530] "POST /ProjectKFC/TrendMeals.jsp HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:55:24 +0530] "POST /ProjectKFC/BucketMeals.jsp HTTP/1.1" 200 4962
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:56:16 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:56:56 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:57:31 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [20/Jan/2022:16:57:51 +0530] "GET /ProjectKFC/login.jsp HTTP/1.1" 200 1851
